delta_bits,count
00000100001000010010110000101000110011100111010000001000110111001100001101010101111111110101101111101010011000010010111000010000010010101111111011010001111110010010111010100000001110111111011101111101100101111100001110100000111010110111001000011011100010100001111100001100101101111101100100001101110,1
00001011100111011000010010010011110100101101110100111111111001010101011010000110110000110100111010001011100101010000010101111010101101000011100110111111001100100100000101011101110000101001010100010101011011111100000001000001000101011010111001111101110000010111000011110101011110100100101011010110110,1
00111011000010011010110111010011111011001100000100011101110001101100111101011000000111000011111000001011111011101011110101010001010101100110000111101001100100111110010100100000100000110100100011110101011111110010111111110110101011000011001000111001100000101111011100110101010100110000100001000110000,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100001001000101111010100000100011011101000101110010110001110110100011101010101000111111110010111111010100111100000100100000101110000101000,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110011000111000101010111101010100111101000001111100001111000001001101110011011001111011100010000111001011111100001110110100100100010101110,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110010000111000101010111101010100111101000001111100001111000001001101110011011001111001100010000111001011111100001110110100100110010101110,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100000001000101111010100000100011011101000101110010110001110110100011101010101000111101110010111111010100111100000100100000101100000101000,1
00111011000010011010110111010011111011001100000100011101110001101100111101011000000111000011111000001011111011101011110101010001010101100110000111101001100100111110010100100000100000110100100011110101011111110010111111110110101011000010001000111001100000111111011100110101010100110000100001000110000,1
00001011100111011000010010010011110100101101110100111111111001010101011010000110110000110100111010001011100101010000010101111010101101000011100110111111001100100100000101011101110000101001010100010101011011111100000001000001000101011011111001111101110000000111000011110101011110100100101011010110110,1
00000100001000010010110000101000110011100111010000001000110111001100001101010101111111010101101111101010011000010010111000010000010010101111111011010001111110010010111010100000001110111111011101111101100101111100001110100000111010110111001000011011101010100001111100001100101101111101100100001101111,1
00110100101101010000010101101000111100000110100000101010111111110101101010001011001000100010101101101010000110101001011000111011101010001010011010000111010110001000101011011101011110100010101010011101100001110010110000010111010100101110111001011111111010011001100011001100100111101001101110011101001,1
11011011010010101011101010010111000011111001010111010101000001001010010101110000110111011101110010010111111001000110110111000000010101110101100101111000101001111111010100100010100001010101010101100010011110001000101111111000101011010001000110100000000001101110011100110001011000010110100001100010110,1
00010100001000010110110000101000110011100111011000001000110110001100001101010001111111010101001111101000011000000010101000010100010010101111111011010001111110011010111010100000001110110111011101111101100101111001101110110000111010110111001000011011101110101001111100001110101101111101010100001101111,1
00001011100111011001010110010011111100101101100100111111111001110101011010001110100000110100111000011011100101010100010101101010101101000011000110111111000100100100000101011101110001101001010100010101011011111100000001001001000101011010111001110101110000010111000011110001011010100100101011010110110,1
00111011000010011011110011010011110011001100010100011101110001001100111101010000010111000011111010011011111011101111110101000001010101100110100111101001101100111110010100100000100001110100100011110101011111110010111111111110101011000011001000110001100000101111011100110001010000110000100001000110000,1
00110110100101010010010111001011111100001110000000111001111001111101111010001000001100000011111101001011110010101001110100010011110010000010010111101111110110011100001001010101111010100000101011011101000101110010110001110110100111101010101000111111110010111111010000111100000100100001101110000101000,1
00000110000000010000110010001011110011101111110000011011110001000100011101010110111011110100111111001011101100010010010100111000001010100111110110111001011110000110011000101000101010111101011100111101000001111100001111000001001001110011011001111011100010000111001111111100001110110101100100010101110,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110010000111000101010111101010100111101000001111100001111000001001101110011011001111001100010000111001011111100001110110100100100010101110,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100000001000101111010100000100011011101000101110010110001110110100011101010101000111101110010111111010100111100000100100000101110000101000,1
00111011000010011011110011010011111011001100000100011101110001101100111101011000000111000011111010011011111011101111110101010001010101100110000111101001101100111110010100100000100000110100100011110101011111110010111111110110101011000011001000111001100000101111011100110101010000110000100001000110000,1
00001011100111011001010110010011110100101101110100111111111001010101011010000110110000110100111000011011100101010100010101111010101101000011100110111111000100100100000101011101110000101001010100010101011011111100000001000001000101011010111001111101110000010111000011110101011010100100101011010110110,1
00010100001000010110110000101000110011100111011000001000110110001100001101010001111111010101001111101010011000000010101000010100010010101111111011010001111110011010111010100000001110111111011101111101100101111001101110110000111010110111001000011011101110101001111100001110101101111101010100001101111,1
11011011010010101011101010010111000011111001010111010101000001001010010101110000110111011101110010010101111001000110110111000000010101110101100101111000101001111111010100100010100001011101010101100010011110001000101111111000101011010001000110100000000001101110011100110001011000010110100001100010110,1
